Date,Time,Transaction Type,Status,Chain,Buy Amount,Buy Currency,Buy Currency Address,Buy Fiat Amount,Buy Fiat Currency,Sell Amount,Sell Currency,Sell Currency Address,Sell Fiat Amount,Sell Fiat Currency,Fee Amount,Fee Currency,Fee Fiat Amount,Fee Fiat Currency,Refund Amount,Refund Currency,Refund Fiat Amount,Refund Fiat Currency,Tx Hash,Link,Timestamp
06/20/2025,14:06,receive,Confirmed,arbitrum,0.000135687018924,ETH,0xe68caaacdf6439628dfd2fe624847602991a31eb,0.4492825677203382065397011976,CAD,,,,,,,,,,,,,,0x052d3d1a0ddf8794d7f243f86e221c2240e32c74a0106ece46717f8e3adb66ee,https://arbiscan.io/tx/0x052d3d1a0ddf8794d7f243f86e221c2240e32c74a0106ece46717f8e3adb66ee,2025-06-20T18:06:10.000Z
06/20/2025,14:06,send,Confirmed,arbitrum,,,,,,0.00043128065448,ETH,0x602b805eedddbbd9ddff44a7dcbd46cb07849685,1.428042869461327331558906352,CAD,0.00007103618698,ETH,0.235212776730783865331521852,CAD,,,,,0x8092fbdd8bbb9a1d22dc5ab034f45981883e2aa31137abcd208de7c29fa2b0c4,https://arbiscan.io/tx/0x8092fbdd8bbb9a1d22dc5ab034f45981883e2aa31137abcd208de7c29fa2b0c4,2025-06-20T18:06:08.000Z
06/20/2025,14:06,send,Confirmed,arbitrum,,,,,,1500.378128,USDC,0x31ef83a530fde1b38ee9a18093a333d8bbbc40d5,2059.039197892763815571072,CAD,,,,,,,,,0x8092fbdd8bbb9a1d22dc5ab034f45981883e2aa31137abcd208de7c29fa2b0c4,https://arbiscan.io/tx/0x8092fbdd8bbb9a1d22dc5ab034f45981883e2aa31137abcd208de7c29fa2b0c4,2025-06-20T18:06:08.000Z
06/20/2025,14:05,approve,Confirmed,arbitrum,,,,,,,,,,,0.000005076700884,ETH,0.0168098114823288770945441016,CAD,,,,,0x00ad05b34f543c002ac852748946627fc0ac85dbe8fd0468a040810ab5213d08,https://arbiscan.io/tx/0x00ad05b34f543c002ac852748946627fc0ac85dbe8fd0468a040810ab5213d08,2025-06-20T18:05:32.000Z
06/20/2025,14:04,receive,Confirmed,arbitrum,1500,USDC,0x862f26238d773fde4e29156f3bb7cf58ea4cd1af,2058.520275123036,CAD,,,,,,,,,,,,,,0x3a25cdb102ac046a7b4f7625b3a4e75b0252e03f0225c05c2cb3f5de85ec30ba,https://arbiscan.io/tx/0x3a25cdb102ac046a7b4f7625b3a4e75b0252e03f0225c05c2cb3f5de85ec30ba,2025-06-20T18:04:22.000Z
06/03/2025,16:13,execute,Failed,base,,,,,,,,,,,0.00000523986907561,ETH,0.018858032368863185302841647533,CAD,,,,,0x4597e717d0d46a82af4c3b073a538c5230b496bf9c30eb9ee3c3efcd6a621db5,https://basescan.org/tx/0x4597e717d0d46a82af4c3b073a538c5230b496bf9c30eb9ee3c3efcd6a621db5,2025-06-03T20:13:09.000Z
06/03/2025,16:12,approve,Confirmed,base,,,,,,,,,,,0.000000503502222076,ETH,0.0018120798563270169420507198828,CAD,,,,,0x69ec5e221327d4c89f0e68aa543976639709a62170c32128c9dac9151776d3aa,https://basescan.org/tx/0x69ec5e221327d4c89f0e68aa543976639709a62170c32128c9dac9151776d3aa,2025-06-03T20:12:57.000Z
06/03/2025,16:12,receive,Confirmed,base,370.889727,USDC,0x862f26238d773fde4e29156f3bb7cf58ea4cd1af,509.0007312164282325156612,CAD,,,,,,,,,,,,,,0x711b43c70f7ece8b7a0a5ae45895ef9fba441916f2b70b1491847ed6984ee475,https://basescan.org/tx/0x711b43c70f7ece8b7a0a5ae45895ef9fba441916f2b70b1491847ed6984ee475,2025-06-03T20:12:01.000Z
06/03/2025,16:11,receive,Confirmed,base,0.147854456735519284,WETH,0x862f26238d773fde4e29156f3bb7cf58ea4cd1af,532.331005070093718163596887872516,CAD,,,,,,,,,,,,,,0x002bbeed1b61f2da75689c0525ecedd7501a22fd918dce8eb96dd2a4b621da90,https://basescan.org/tx/0x002bbeed1b61f2da75689c0525ecedd7501a22fd918dce8eb96dd2a4b621da90,2025-06-03T20:11:25.000Z
06/03/2025,15:40,send,Confirmed,base,,,,,,0.3,ETH,0xaa9650695251fd56aaea2b0a5fb91573849e1a3d,1081.2006140852571,CAD,0.000000244079874633,ETH,0.000879664367796840556471910481,CAD,,,,,0x7c7b9e282ec8e997b2c0dd7d04683b2a5051cb05e51c6d6c49f13c6dcf0e1732,https://basescan.org/tx/0x7c7b9e282ec8e997b2c0dd7d04683b2a5051cb05e51c6d6c49f13c6dcf0e1732,2025-06-03T19:40:31.000Z
06/03/2025,15:39,trade,Confirmed,base,0.002480422083999101,ETH,0x6cb442acf35158d5eda88fe602221b67b400be3e,8.939446268034870567685779179557,CAD,6.510633,USDC,0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,8.9333414913538440794166,CAD,0.000003753097743353,ETH,0.013526171949450854161189403521,CAD,,,,,0x84d56481c97a064e4f897b203e0f177b6c522548719b281033370002e2828f43,https://basescan.org/tx/0x84d56481c97a064e4f897b203e0f177b6c522548719b281033370002e2828f43,2025-06-03T19:39:39.000Z
06/03/2025,15:38,withdraw,Confirmed,base,0.068027106607413569,ETH,0x4200000000000000000000000000000000000006,245.169831461262671951567617978633,CAD,0.068027106607413569,WETH,0x4200000000000000000000000000000000000006,245.5804909289603083233121994355,CAD,0.000000347004312789,ETH,0.001250604253592331446139610173,CAD,,,,,0xecb1553c724520bfe1f50e36c32a00227f7fe4c4ba8ecf13040debe2a3cf3427,https://basescan.org/tx/0xecb1553c724520bfe1f50e36c32a00227f7fe4c4ba8ecf13040debe2a3cf3427,2025-06-03T19:38:35.000Z
