Type,Time,Asset,Interacted with,Digest,Gas Fee,Timestamp
Send,1750803631245,-5SUI,0xa642647fee6a7efd53fb3c5867f069b6feca8c75b86605faf6d4e30cd589259e,8P4yNzJRskd7DCTwpkVyGd4cfWabAPFY8o3Qw7As2XrQ,0.00173888 SUI,"Tue, 24 Jun 2025 22:20:31 UTC"
Send,1750441180322,-1SUI,0x1df6f74ae73e453bc276d84512f1cd8387b643432163221df4f4c76112bfaf66,75Ap51BMmfYZQcFgckdAdHnBCFDqvENFzHDc4j9bWZEU,0.00075976 SUI,"Fri, 20 Jun 2025 17:39:40 UTC"
Receive,1750169298133,554.172706USDC,0x811c7733b0e283051b3639c529eeb17784f9b19d275a7c368a3979f509ea519a,3BM3nzUUB72tEha8G2UBXEDTfv6VyVTVjxJurGyrh8zv,0.000776328 SUI,"Tue, 17 Jun 2025 14:08:18 UTC"
Receive,1749559361166,412.79703654CETUS,0x811c7733b0e283051b3639c529eeb17784f9b19d275a7c368a3979f509ea519a,7Gi2bqkMLsAXequJgtZ95jptEpxiZ3GvYTFSbYWv7TzN,-0.00319604 SUI,"Tue, 10 Jun 2025 12:42:41 UTC"
Receive,1749559287150,876.298574USDC,0x811c7733b0e283051b3639c529eeb17784f9b19d275a7c368a3979f509ea519a,951mC6UbSBgLkVdaVZpUwib2T46SF7ATzwAsMnNxKdEG,0.000776328 SUI,"Tue, 10 Jun 2025 12:41:27 UTC"
Receive,1749559214742,0.18597015suiETH,0x811c7733b0e283051b3639c529eeb17784f9b19d275a7c368a3979f509ea519a,CRAieBEV8kQgPzZCY5aQJbmJjFL5iBdFJ4bKBnw8oi2i,0.000776024 SUI,"Tue, 10 Jun 2025 12:40:14 UTC"
Receive,1749559189253,166SUI,0x811c7733b0e283051b3639c529eeb17784f9b19d275a7c368a3979f509ea519a,EGVYNqwHf2sH4aMK6pXALyvCKw5WrxLhfiYpkP3CV3Lr,0.00075976 SUI,"Tue, 10 Jun 2025 12:39:49 UTC"
Bridge,1747071684809,-0.74222528suiETH,0x000000000000000000000000000000000000000000000000000000000000000b(Sui Bridge),FPX3UPXcoDRmShLrUYcPbvfPBxWs9BaGRNxLvXxFskxt,0.004793004 SUI,"Mon, 12 May 2025 17:41:24 UTC"
Receive,1747069754759,0.74222528suiETH,0x811c7733b0e283051b3639c529eeb17784f9b19d275a7c368a3979f509ea519a,zJYJ3ZmXs8dTTk2BY42paVHSWcRPvtN4PFQhFt5GB8m,-0.000518104 SUI,"Mon, 12 May 2025 17:09:14 UTC"
Bridge,1746732656895,-0.74657966suiETH,0x000000000000000000000000000000000000000000000000000000000000000b(Sui Bridge),665J6kW7MBnXyPTi5DXk8ztn7grqk354MdMUim1u9XdH,0.005991828 SUI,"Thu, 08 May 2025 19:30:56 UTC"
